engagement_matrix,cost_of_advertising,return_on_investment,conversion_rate,ocassional_effect,platform contribution percentage
2,10351,1.5694676224449085,83.77543107855855,1,10318682.573898774
1,47263,3.9711690497388603,62.659911994461076,1,47081133.24317592
3,30208,1.0801327700680772,71.12237826161747,1,30095027.65508627
1,26350,3.9225959218533064,10.872065796159918,1,26246600.144049454
3,39787,1.4052367968688464,38.58317657760319,2,39632800.99844135
2,21478,2.9815453322117773,67.02993223247212,1,21399683.594116434
1,38502,1.344760894437389,12.09383864918296,1,38349779.20278119
2,34974,1.3546500257981298,3.0580552053425074,2,34835391.91002389
3,29693,4.906631058679585,68.3203503402875,2,29582605.897071656
2,44870,3.0302129928423778,38.80580124344811,1,44695299.50781342
3,34280,2.5359232492700245,48.487973023421276,2,34148966.46732475
2,16673,3.538492496760325,97.3606470927457,2,16617310.068733852
2,22920,2.5120432198906397,9.203810168727564,2,22830372.94663546
2,49372,3.2227247304480446,54.15879737327684,2,49181152.833952285
1,47342,2.5136137628572635,41.315666132758466,2,47157794.33640245
2,38378,4.999653531936621,50.57512619401695,2,38231001.46757855
2,24000,2.277156780790846,57.20725540620808,2,23910822.755922124
1,42384,2.342420950885011,85.82444785239595,1,42223753.95950885
1,48981,3.463167481572315,88.99215147402707,2,48795129.42692001
2,47461,3.9673775633239825,72.0721697000506,1,47279383.97605324
1,36846,4.1871669214511,43.28368956833918,1,36703891.70065662
2,48876,3.6372564434680457,21.15022929594838,1,48683588.86626724
2,30502,4.059081292299035,21.980016014822993,1,30383222.682169482
1,11525,4.3095874359819915,30.64347045390062,1,11482927.593412068
1,39466,1.8233829003641486,7.361429561633176,1,39309512.18273321
1,19816,2.0780582457574686,59.47111543722944,2,19743657.25911567
1,10641,4.339614458078456,31.03770020718144,2,10602807.919900268
3,26753,2.5588091176178387,52.85616317876578,1,26652213.261503167
2,16045,4.862436764353058,60.20903151667373,2,15988279.019931033
1,37387,2.4663260304176853,15.078594777434777,2,37239984.481861696
3,43333,4.888409665816914,18.19919841436495,1,43162730.41309799
1,33481,1.1129171409169474,47.859623462944775,1,33352409.641574614
3,24527,4.9215950900655905,13.64181679393067,1,24431502.9890411
1,21005,3.9946018069458322,73.41377056746973,2,20929544.67529165
2,11698,3.582045164372719,24.336185267616553,2,11654913.284398131
1,33923,2.7693041019201043,39.43378739800557,1,33792014.38827305
3,39332,1.6190649638390706,63.75839252556235,2,39182166.31769785
1,35177,2.998997420173646,58.974870191210066,2,35043283.356683746
3,37275,3.5413859598380286,33.00998016959831,2,37130569.37819174
3,32466,2.8452067156950234,20.96351337108134,2,32339510.228210147
3,44352,4.861890588675301,35.05140736501724,2,44179637.18651304
1,46231,4.564159401810279,8.58798568779176,1,46047931.13929101
2,20413,3.2825246773841585,70.81020570181005,2,20339661.748778243
2,42017,1.2378701939956032,94.13936970778714,1,41859011.860096
2,14587,1.8000447050073616,58.89638250871864,1,14535280.644062523
1,40143,4.6543075244424,77.97787680778603,2,39991534.847658955
3,23857,2.843753444689817,60.030016112955614,1,23768551.689559106
3,11052,1.6018605990561947,51.25037871566723,2,11014033.279749446
3,39562,3.8105058956033524,40.17191924271155,1,39408871.5576907
1,11614,4.417014056109313,69.49833821528631,1,11575471.045648824
3,25003,1.6079107677443263,73.40261764709834,1,24911144.290164515
2,19211,4.901302327490844,98.67472383153194,1,19145165.641685728
1,22611,4.313235410434487,2.585028091482999,1,22521778.223412506
2,45075,4.003928522628735,34.004853938602665,2,44899426.996101804
3,14027,2.140057075247376,59.26355952210051,2,13978004.563371994
3,48952,4.758034034546863,83.86152784972356,1,48765803.69720946
1,14589,3.242287282985315,22.828673862717203,2,14534052.36473306
2,39854,3.9884860464407086,84.69873310245009,2,39704378.376496285
3,17377,4.4386645121003525,73.82227941416309,2,17316359.25432799
2,37953,1.7225858332077597,13.45703891960907,2,37803563.64005028
2,32829,3.462415196379085,70.08067352289821,1,32705647.18132782
3,19421,4.772024488448556,28.162401475677516,2,19347660.603331067
2,16101,3.636847874299829,11.944682651972874,2,16039069.258488856
3,41426,2.445980952354214,94.62508251201196,2,41270984.485775
3,36392,2.4380494720149577,7.512491577156686,2,36248408.19558908
3,37842,3.6637684267165476,48.099445249564845,1,37696525.23442043
3,22212,2.4870132670725114,59.10327327693911,1,22129992.639052413
2,12380,1.7105643421872982,87.59549553967416,2,12340267.922918452
1,22428,2.9429883264859393,64.72087805955061,2,22345846.6762884
1,24307,2.409612838782402,96.96481545097893,1,24220184.73121414
2,22784,2.150598220720212,4.3361451936712605,2,22694383.192288063
2,44923,2.9208200097832617,62.46119227485404,1,44750438.82582875
2,37788,3.8520207129510733,16.39647178434958,2,37639794.40987112
3,26379,4.375451115081873,33.78458835895379,1,26278038.267480858
1,30600,3.1040670355592908,99.19080057410613,2,30488626.608772036
1,45259,3.888205638637997,88.30049822873502,1,45087702.5165559
1,31439,3.2355816993945736,83.06014860417056,2,31322674.640481338
1,21795,3.295484232283184,61.98723950579999,1,21714850.136900775
1,29121,2.372286661178264,36.80883845083204,2,29009209.281111035
1,28220,2.3701561964422586,90.39266192147078,1,28116870.386497684
3,20150,2.3132893629756572,80.71995795584579,2,20078680.72341277
3,43037,2.4532002791658583,40.55083812596291,1,42869832.99984889
2,33885,1.0469081514455048,84.05045133613149,1,33758506.143193305
3,39235,2.4238489970153094,33.450471575430186,1,39082327.14752715
3,22284,1.9796459185736626,35.57033132415927,2,22199586.38710183
2,23204,1.671901306797055,48.160563393831694,1,23116722.403509267
3,29908,3.7250311483181333,61.69366660564356,1,29795628.620709848
1,45671,3.923192060749747,15.25679905077431,1,45490754.694872975
1,12957,2.621631862593008,52.8521154168717,2,12911502.023683826
3,49927,3.873815207822113,64.76607340739777,1,49734879.203317754
1,12463,3.3750025386596283,23.969103747724287,2,12416687.660704797
1,12368,4.907335396374205,32.23704128041675,1,12322792.65772957
3,17077,2.1900478018349263,59.55152991309183,2,17015839.859205548
1,40410,2.625192488990514,40.927112205084875,1,40253196.98624408
2,21362,4.5560720232648935,13.729273201462153,2,21279323.216683168
3,35824,4.322913809004945,47.781560113938994,2,35686952.134806566
3,22487,1.3994483871139907,46.300808843540345,2,22402772.00917468
2,17974,4.893449893454583,32.93829009364953,2,17906839.977495514
3,43342,2.5282634841209757,52.04323634900434,2,43175072.997887835
2,18336,3.659812058838555,41.63089021930677,2,18268100.864589583
3,43466,1.5378537557004637,51.371332043992076,1,43298080.05419264
3,44890,2.0601148828555127,72.23574742852875,1,44718538.38967762
1,40159,4.503622421947361,52.37537594638734,1,40004590.008509494
3,39539,3.9402202365301764,47.54136958282498,1,39386717.36558904
1,30476,1.7521389662878386,99.528507623706,1,30364679.62882799
2,12257,3.0796168929451104,93.27872781286386,1,12218205.222977368
3,45707,1.0580141570631287,17.96612883862115,2,45527014.154724285
3,27764,3.748238659907975,55.55692351825337,1,27659593.963377614
1,21601,1.8337682421490733,3.1973194660963244,2,21515858.121818088
3,39812,1.7348778480164215,39.31315973847083,1,39657515.85009409
3,44887,3.238744159949512,15.565524643106283,1,44710036.58920511
2,47893,3.290534655257636,49.21797935384752,1,47707282.56744056
1,47926,2.51643433819473,34.59945616355426,1,47738486.08208032
1,21659,1.4490697007710565,80.59884361451378,2,21581316.26342255
3,22959,4.439200850290822,27.930808412520378,1,22871141.17695179
2,46562,4.091867270027442,24.596794472849385,2,46379549.62219239
2,27567,4.617518837356082,84.51732184528764,2,27466590.009633385
1,19107,3.823477567376584,16.539895349079387,1,19033126.041618668
2,45436,1.9990037537637884,95.60009508876735,2,45264881.879996866
2,49841,4.004852409634928,54.919234914757546,1,49648153.554304734
2,16820,2.285885989189141,62.609085604299885,1,16759783.073739026
3,19006,4.556613163519344,79.68191255756487,2,18939444.55096701
1,40764,1.8310877405945418,14.560738419442227,2,40603342.11524822
2,46858,4.3560104357957705,65.6730406999241,2,46678507.58542665
3,43472,3.5987968944933417,3.7444592042082205,1,43299561.28951671
2,33824,4.527659246109951,69.77592043907266,2,33697076.1877459
2,46787,1.7182431509416278,98.25367450248429,1,46610405.739059865
3,23053,4.114911840662033,21.413399232494786,2,22964372.278462533
3,44398,1.1213021433168766,67.04009526509498,2,44228165.77880514
2,19805,1.1511859452425677,99.3323695125155,1,19736367.891124133
1,36719,1.60066264642664,74.89308773625797,1,36580224.39491767
1,12330,2.2342289310459775,63.12150465680885,2,12287986.600226717
3,12071,4.988386255323453,33.03569303548336,1,12027275.05951674
2,49553,2.346798363403956,85.09138317243284,1,49364107.22210448
2,48036,1.3418633358324934,88.15051936389088,1,47853350.49417005
2,30634,2.5050360046912865,35.22597328077104,2,30516118.252008688
3,45907,3.6810120589166058,70.10790702508044,1,45731468.32227016
3,29694,3.060764438380757,85.19562402441622,1,29584748.46177943
3,16705,1.8761098634397144,37.90661379013166,2,16643122.555661261
3,26447,3.074908487278944,8.932113506669992,1,26343111.949454013
2,31619,2.7243016582574655,81.74092546599282,2,31501858.251762174
1,14077,3.7453525707155126,14.68892571894126,1,14023050.788406087
2,11175,1.0304547321954396,32.2345126766624,1,11134162.410382852
2,26776,3.5283303379091393,91.37303912493945,1,26678996.986856423
2,16435,3.217424544867845,81.26274195070565,2,16378610.539385904
2,27118,4.390138302060214,68.06885010938582,2,27017711.602990206
3,23914,2.3768158089928866,82.36569222742727,1,23827496.555277914
3,28790,4.363992753761879,13.795351304302887,1,28677393.85418842
1,21495,2.856006440002371,71.75536361409411,1,21416969.81719861
2,40137,3.8488435385147417,35.75276362732532,1,39981032.62602274
1,30837,3.5896746764037064,8.33471094505116,1,30715355.128802437
1,22480,4.443870271046062,36.338144873949744,2,22394995.51762263
2,14789,4.871523129809539,83.20759451163437,2,14739604.05745804
3,14449,1.7781921493858177,68.99530387738118,2,14399242.69536716
1,29942,4.719046975826281,21.244368696006717,2,29825673.912976455
2,23526,3.0923338298374468,86.08016881040582,1,23441411.02027892
3,26312,1.9054527904239462,6.407070097975735,2,26208548.41587255
2,18309,2.366398830538186,85.37614610770962,2,18245415.246458743
2,41237,2.8647471473919595,22.031916818922458,2,41075433.60881105
2,26808,3.6443615172895063,14.362641737806285,1,26703183.031171028
3,19009,1.5931070553717195,80.31067552741925,1,18941809.17146994
2,22087,1.858331148266505,8.090920246122305,1,22000207.67507389
3,32333,3.735004794665856,15.510603173551598,2,32206612.61094066
2,41020,3.4338033134118895,14.26770563533795,2,40858599.16499428
3,18085,4.642632037856949,52.24598939789615,2,18019396.141104713
2,38695,2.320252268729122,37.62626202335888,1,38544789.25899727
2,23383,2.797103159105491,44.621313179281174,2,23295099.75472861
2,38590,1.5070291535708433,75.3031301927612,1,38443871.22680924
2,18446,1.063108147064435,64.47579345893914,1,18379306.78340501
2,11393,2.6677590364736075,61.27303896921682,2,11354708.112571662
3,14275,2.0009211587489455,23.418771881110853,1,14221108.996938748
2,23419,3.918592639795624,73.07203798995812,2,23333946.620842166
2,28347,3.3278021050212656,48.01140354154894,2,28239651.75462781
1,35578,2.870414422532534,92.76807819762337,1,35445740.96169469
2,29073,2.58956379884492,65.6395339814517,1,28964113.596691996
2,36877,1.245472544489632,29.761573341638048,1,36733135.06876495
3,30309,4.834314821937637,1.0128966860485544,2,30189401.750595458
1,36579,3.9170186839915173,37.42479014520735,2,36437639.69144344
2,21110,2.7940664131541206,50.09225313794744,2,21031738.453947503
2,26977,1.2827736257219482,68.0946526492254,1,26876573.22583627
2,25671,1.6274706606552671,5.237006032741461,1,25569556.27178916
1,32529,2.5895622537231113,34.21572357633162,2,32403346.215450615
1,40195,3.8995858647960517,56.06737932157364,2,40041037.684094585
3,29362,2.041930111588009,1.8815991415921354,1,29245612.610828664
2,29550,3.8507131353881343,60.41286573331365,1,29438846.879280932
2,31711,3.2423488538364684,95.68033265846148,2,31594951.538616847
3,36702,1.4221782026105374,76.26824582082048,1,36563610.70774843
3,33079,2.1633904738896783,60.18005380632635,2,32953891.24614224
1,31679,1.5044211933582825,51.35684128514308,2,31558319.25888365
1,46045,3.6600584823752333,77.14024719746958,2,45869713.832322456
3,27887,4.1145210525235285,89.52969245443445,1,27785546.856982272
1,21157,2.9770795193758177,31.188348358909526,1,21076280.85517341
1,47568,1.1889692266510012,73.57564267500797,1,47385643.130266964
3,38923,3.990806445427678,94.92281540957283,1,38777926.086378865
3,24084,4.987521102211035,10.566792592807898,2,23990277.05700257
2,33041,4.946421882743316,1.2569019299317867,1,32910109.72503775
2,42528,4.980499615459854,92.02149419871611,1,42368242.614369884
1,41858,3.925410684080883,18.72632976123404,1,41693353.93636505
2,12226,3.0356184128661576,10.325716974475291,1,12179028.20209112
2,36803,3.943325917414515,88.63821139391966,2,36665970.45350866
3,23056,3.5063418284421366,14.366512378115099,1,22966275.47567551
2,20373,1.689209352551523,55.52626339910022,2,20298086.22355574
1,43883,1.65391186654977,47.87426735057365,2,43713174.43527771
2,15351,1.4157277266807848,80.47256855296551,2,15298633.301459765
1,15544,1.1870223565107696,15.116353755590175,2,15484193.948281907
2,14287,4.685414417460209,88.25949477733694,2,14240093.053352004
2,47832,3.3764402473515345,95.88054853150716,1,47651203.99208531
2,47861,3.175540695030482,69.69957370981687,2,47677744.77766134
2,39489,3.7726504912009187,67.150331665346,2,39339055.47773039
1,36327,3.7125652113808125,83.0579315852242,1,36190883.426636
2,40561,2.943730283035107,31.921149794719145,1,40402835.79991626
3,22984,3.953477646773497,10.692490439262448,1,22894254.20113801
1,47779,3.269981726870674,23.343177175817424,1,47591046.41534208
2,29291,4.069678716382244,88.34658511430693,2,29184005.71674456
3,36778,4.402167752116856,42.258682847151476,2,36636594.15009249
3,18588,2.0344918819965896,68.49501741889073,2,18521669.985686548
1,49073,3.5184637847543923,86.41193734114562,2,48886510.59402613
2,29262,2.370990286846982,30.72053466716805,2,29149138.28220401
1,46757,2.8864566821456172,21.429212915875187,1,46572893.16066027
1,26218,3.5005291641348895,42.051084587177485,2,26118492.177250054
1,37085,3.9716092030910684,36.14095483219668,2,36941494.404679626
1,29145,2.4280494686740175,67.78789915350309,1,29035917.436346278
3,16917,2.4101202021984944,98.01779519545421,2,16860355.095145833
2,36860,1.088408841866332,42.67214204074524,1,36717473.70735352
2,20521,3.3702424142926968,43.402905897351815,1,20444199.42210359
2,12967,1.2110307053853853,46.28394564565517,1,12920422.828556266
2,20507,4.560599560096106,34.44829055984524,1,20429514.706998795
1,44549,4.471127888660279,83.43066526271714,2,44380432.3131518
2,11084,2.844546375234637,84.45446904862357,1,11048984.237933643
1,18419,1.3844421627496564,8.010869748957994,1,18346708.064456053
2,18897,4.504417394693758,66.22127519413824,2,18829425.701780725
3,32726,2.561922069011306,69.2516846455339,2,32603262.218333524
2,38530,2.885117480956297,42.463311565133765,2,38381307.39642904
2,17942,3.157200235376721,32.27795174976232,2,17874676.231205575
2,38092,1.80240195859378,81.34418748648328,2,37948806.73100326
2,29434,2.534841418661825,42.74899509724345,2,29321674.42889415
2,19293,1.4396692219326392,42.08742495003947,2,19221029.899493854
1,45650,2.9980603357959597,43.085030295825824,1,45472501.25087324
2,30461,1.3678998987377242,94.67670525333038,2,30349607.49751217
1,32005,2.26531196445048,13.061009501975823,1,31878983.591505576
2,43884,1.8973415153063984,32.74769123694235,2,43712791.423520684
1,25610,3.7749702400247536,11.116183018866563,2,25509866.36443309
2,42954,4.113094987503436,41.934121618682525,2,42787718.114510246
2,14580,3.3304740685839254,58.395368313746104,2,14528758.498460291
2,38029,1.8732802490879554,6.404124466040827,2,37878573.93887898
1,28564,2.822224693206176,52.16976781096013,1,28455730.865991212
3,48924,3.0461269777357924,94.48199206084695,2,48739056.19571319
2,43171,2.226471576046969,76.53474222720213,2,43007064.915527605
1,27431,2.147123721485174,9.757970789837685,1,27322933.923162773
2,41980,4.084063571964807,24.30596600953637,1,41815546.524865314
1,38723,1.0111205321518395,22.3693900986869,2,38571180.38467905
1,33501,4.474370916454136,53.26617998650237,1,33373307.286217786
1,12771,2.688199051688581,70.40536335419333,1,12727709.002212139
1,49962,4.2336550089993885,90.13258370188161,2,49772419.63352136
3,38550,4.019070349004299,78.83319865279515,1,38404812.79901065
3,19920,1.1513600470637164,49.612432518068374,2,19846338.920057926
3,48875,2.9025847808037333,14.310603892454056,1,48681915.39641075
2,11038,2.5942980488915146,65.34191926086594,2,11001525.450672442
1,30316,4.5875724058207625,96.44388493767065,2,30205680.772906527
1,30551,1.948389414966528,50.1682512445664,2,30434770.1157484
3,12301,1.2170292006675152,97.53134446349647,1,12262314.348242436
1,22037,3.8569376876139865,98.0785048112809,2,21959865.252380516
3,43558,3.193505509439935,20.708374426977887,2,43387161.99315892
3,10692,1.0540727805127896,39.06849892598564,2,10654183.879354063
3,47647,1.8705609202378568,29.102984934654074,2,47460473.4714131
1,28452,1.3704351460178517,6.973454436296871,2,28339771.50201261
1,20080,3.8886176344811267,45.38506571764577,1,20005127.02686425
1,20084,1.7108421831461111,47.75255133733252,1,20009064.664617542
2,34196,3.3662340377643667,51.016264326038694,1,34065260.23685751
2,40925,1.928223778038935,7.99109031114519,1,40762854.77812225
1,15060,2.500291753557996,18.150752405425926,2,15002604.113168506
1,19759,1.764968625144884,59.054270723304455,2,19686802.8729936
1,14489,3.7900225173697693,59.64888730346229,2,14438205.591657605
1,21521,2.4002958333345776,36.99169413585673,2,21439631.207871918
2,18427,2.404079920763102,85.94207678355909,1,18362703.738068055
1,37757,1.739191676256206,11.925514991925484,1,37607793.64641711
1,49272,4.70085197893577,86.12347136499673,2,49084839.45789376
3,49670,2.3142899256478513,4.636337714304487,1,49472691.49146176
1,14652,1.0715978155841124,19.91105219567946,1,14595925.412935592
3,42472,1.4948000193339541,99.13880112365965,2,42313128.20411488
2,19479,1.2346210428612343,75.01139023131368,2,19409551.639758706
2,46047,2.604817205258589,63.508841572401536,2,45870307.510393925
2,35068,3.353326832951877,90.67515243096346,1,34937736.44773138
3,16085,4.549630509081444,27.276716519041308,2,16024887.123618085
2,43440,2.4301775008038486,73.50574644577905,2,43274712.49771968
2,30749,4.283195862400175,77.11222244842637,2,30635078.037706956
3,48530,3.6036920892476574,36.99689471015376,1,48340655.16944262
2,43461,1.7903666111327365,80.11996018094055,2,43296206.74367754
2,39392,4.026514267341474,14.18353232500438,1,39236878.80008726
1,21464,2.2297921054135137,1.758912957704461,2,21379313.764269475
1,31447,4.436171026813737,7.433166293475956,1,31322935.018862832
3,38058,4.682783933930249,6.419077708209227,2,37907926.669682235
3,35731,2.3988043599782847,76.20860675266263,2,35596916.70524207
3,42631,4.231553680139241,31.38591022931478,1,42464771.69300135
2,27878,4.415236269993047,60.70747271260355,2,27773938.72798636
2,28651,2.344504796865246,50.740712693011716,2,28542580.85689289
2,48899,3.2694389798785304,44.59627187727764,2,48709094.654255114
3,39095,3.759613250961037,78.27286168837657,2,38947844.03589146
2,25648,3.1428731601038447,91.87437075202259,2,25555810.010586016
1,30391,1.3907782540921012,64.71558918301841,1,30276491.360091332
3,21830,2.311047890452528,40.87341029316029,2,21747975.777255073
2,12503,1.6425882394645073,32.44278710790684,1,12456950.81518192
3,43786,3.832292367552643,79.60998105418034,1,43619922.19611321
2,25487,4.985847637644033,58.039178564881084,1,25392009.07804938
3,26471,1.182773913436514,61.13024047961182,1,26371989.784656707
1,16107,2.614980879884275,42.87351519922105,1,16047602.299034307
1,26255,4.589089121727855,59.97227223428056,2,26157277.808809254
2,45799,3.5554136284855575,29.27204125803325,2,45619999.40789751
1,33025,2.7660673184360984,70.97035705907902,2,32901060.624457307
3,42329,2.6887495576648743,41.44754004811938,2,42165086.29144731
3,17539,1.0460665565422271,16.184362064263905,2,17471506.42485878
3,19051,2.836352744637547,37.66326031878078,2,18979839.051888682
2,46206,4.696307582614851,29.844648778048786,1,46025275.98486355
2,49055,4.853819588953683,54.902573352314434,1,48865406.2538818
1,16846,1.8634908051991244,11.300774585611403,2,16780692.331263237
2,23431,2.2726466714821343,41.92189757699356,2,23342569.633824993
2,12080,1.6600194478469645,98.34233871627269,1,12042235.036399847
3,37121,2.864060504558012,70.51470120380156,2,36980847.79798597
2,39145,3.4457160774060074,21.648090051791623,2,38991838.752095245
1,18804,2.855662831744509,50.10966898117266,2,18734870.203066245
2,17848,3.647941197957593,62.00319662501644,2,17784088.552018236
1,32345,1.3847293629112705,96.64029065289375,2,32226168.043882467
2,48878,3.3417871715198553,28.228397150114905,1,48686250.27204731
3,34992,3.591584066446658,43.2852862077631,2,34857735.43454942
1,13704,3.9068339711687665,35.36463384523538,1,13653631.351800775
3,20935,2.249927422307604,83.01819022187614,1,20860461.309587087
3,41750,1.0252278208933383,64.18169324328248,2,41590459.448941045
2,16926,1.2304882035388975,52.05541666254185,1,16864166.505132716
3,31969,4.035739077068904,55.058114770161296,2,31848062.457557037
1,34914,4.284180771696411,2.547075054814838,2,34775859.6510058
1,49615,2.7481560838592967,57.414593406293804,1,49423041.71963153
3,25046,4.986536773250826,8.08796935092856,1,24947880.046715613
1,30138,4.840151949268682,49.01259516478517,2,30023682.47926988
2,22288,2.420811392148897,91.5519559302371,1,22208822.901074003
1,47683,3.2008004322838315,11.058513106298745,1,47494192.95536683
3,22042,2.721693029076296,22.02551756737884,2,21957296.37185052
3,20097,3.2138461920931265,21.582197782337534,2,20020096.019783203
1,44514,2.44104948649245,24.144021800312245,2,44339379.73861328
2,34006,2.6537016113367815,64.35820611973332,2,33877562.80182145
2,43362,1.5817189887367444,49.83602071382037,1,43194246.225539915
1,44895,3.7028339597810795,70.5299635506928,1,44723357.364769846
1,21818,3.2346954297970085,62.98032276962968,1,21737849.542682834
3,16373,4.746403983643974,23.44977238093262,2,16311378.009755967
2,36625,3.3623924543048087,1.724369576865188,1,36479614.54797675
2,42288,4.109956187641438,68.71869136532155,1,42126759.16344093
1,21897,2.0763997221524115,85.12490809842978,1,21818597.422773723
2,46088,3.8360445122839986,45.43350752097708,2,45909496.0365387
2,28465,3.2786917843557073,93.7066596766293,2,28361742.895899627
3,10316,4.060076771342626,53.009937526391404,2,10281472.803732915
3,23845,2.937481569793067,54.129480443921565,1,23756021.820648465
1,43154,1.1891663205967524,12.991268324432655,1,42983240.718454115
1,40866,3.4922294323021195,7.5761206442607785,1,40704150.60189063
2,13535,3.99368420337377,8.932255800172188,2,13483078.404526457
2,37208,4.656136717144166,33.1135664058601,1,37063589.65441381
3,13150,4.52456300067432,87.39326687079746,2,13107635.519877167
2,28097,2.9576875641751843,25.95561819418051,2,27988398.06120276
2,37320,1.6861714242177017,44.81641921147504,2,37176226.844206296
3,21096,3.0285813354997484,71.73786423060947,2,21020091.501996677
3,29721,1.134985655983296,73.38601273966621,1,29610209.149409242
2,23842,4.491098253352991,86.05233827794008,1,23756326.07660073
2,44367,4.325142243224979,76.56336343202283,2,44198556.60483482
